"boletos_vendidos";"ingresos_totales";"ganancias_totales";"cluster"
42;6463.71;1915.16;"cluster_1"
34;17935.59;850.15;"cluster_2"
46;9781.75;5349.22;"cluster_1"
67;9918.04;4038.82;"cluster_1"
172;5910.63;7953.67;"cluster_1"
233;23778.39;3301.01;"cluster_0"
59;26360.82;8394.01;"cluster_0"
25;14662.45;8213.9;"cluster_2"
206;23388.47;3868.53;"cluster_0"
153;19267.94;2418.09;"cluster_2"
262;3667.91;524.28;"cluster_1"
80;24789.61;8268.48;"cluster_0"
30;5849.36;3324.83;"cluster_1"
86;16753.7;696.56;"cluster_2"
70;7057.21;7568.0;"cluster_1"
190;13219.04;8272.24;"cluster_2"
257;12119.96;7292.77;"cluster_2"
244;3047.6;3983.08;"cluster_1"
50;9823.88;1157.03;"cluster_1"
146;20962.65;4775.52;"cluster_2"
63;28876.19;7843.79;"cluster_0"
111;7036.81;1289.9;"cluster_1"
28;9954.3;1947.95;"cluster_1"
68;5981.01;8210.8;"cluster_1"
100;7408.43;3491.82;"cluster_1"
171;23689.8;8030.66;"cluster_0"
158;4709.93;6877.65;"cluster_1"
203;11353.37;5324.64;"cluster_1"
256;4236.9;5102.33;"cluster_1"
57;28984.66;836.31;"cluster_0"
159;26997.32;8347.79;"cluster_0"
137;4845.46;2995.43;"cluster_1"
224;16509.21;5446.78;"cluster_2"
62;27511.27;4221.64;"cluster_0"
49;30397.03;4971.5;"cluster_0"
223;8093.05;2388.23;"cluster_1"
248;28948.8;3953.17;"cluster_0"
52;7012.78;5196.95;"cluster_1"
255;16443.84;5942.58;"cluster_2"
176;15469.58;7054.33;"cluster_2"
147;7133.28;6101.06;"cluster_1"
293;15481.76;6495.58;"cluster_2"
124;8494.29;1396.04;"cluster_1"
195;3895.21;1275.94;"cluster_1"
116;22680.49;4115.56;"cluster_0"
195;2188.68;1829.19;"cluster_1"
113;21666.22;4390.51;"cluster_2"
40;19776.77;7037.2;"cluster_2"
153;4029.3;887.02;"cluster_1"
183;29301.8;5278.65;"cluster_0"
44;15925.51;1302.32;"cluster_2"
249;20629.71;4198.58;"cluster_2"
225;7849.06;8013.53;"cluster_1"
39;7698.06;5743.04;"cluster_1"
82;2621.22;1299.09;"cluster_1"
115;25189.58;863.77;"cluster_0"
222;5530.65;8040.88;"cluster_1"
144;15832.79;6841.61;"cluster_2"
146;29481.41;851.53;"cluster_0"
208;18721.23;7032.84;"cluster_2"
110;17942.91;5741.21;"cluster_2"
80;2833.65;1707.56;"cluster_1"
89;21283.43;2517.69;"cluster_2"
72;12307.51;1285.02;"cluster_2"
25;4828.32;3885.25;"cluster_1"
65;24544.12;8017.5;"cluster_0"
276;16767.58;6938.07;"cluster_2"
125;16956.06;1654.71;"cluster_2"
30;29412.11;6557.07;"cluster_0"
220;9326.87;7030.34;"cluster_1"
150;5688.86;1433.97;"cluster_1"
50;21995.2;5656.96;"cluster_0"
140;9471.12;1641.57;"cluster_1"
39;8842.85;5402.96;"cluster_1"
51;4673.7;2000.19;"cluster_1"
305;22310.6;5561.12;"cluster_0"
110;5115.05;4567.27;"cluster_1"
266;29574.26;4522.13;"cluster_0"
31;8397.08;5896.89;"cluster_1"
166;11157.75;5853.57;"cluster_1"
35;6647.01;5467.61;"cluster_1"
317;24915.62;3830.88;"cluster_0"
239;12808.52;1420.07;"cluster_2"
264;13506.73;2100.72;"cluster_2"
34;20268.93;8265.6;"cluster_2"
135;23606.19;7297.59;"cluster_0"
63;14154.94;7584.57;"cluster_2"
279;23852.5;5221.97;"cluster_0"
58;21165.04;2297.74;"cluster_2"
255;31038.38;5316.44;"cluster_0"
212;28475.34;7085.44;"cluster_0"
159;10153.38;986.59;"cluster_1"
261;5123.04;5355.71;"cluster_1"
103;20502.32;7852.49;"cluster_2"
37;18331.97;580.28;"cluster_2"
198;10822.32;3209.44;"cluster_1"
36;7734.69;696.8;"cluster_1"
49;26198.09;6842.3;"cluster_0"
107;11706.43;6504.88;"cluster_1"
65;31550.69;3864.92;"cluster_0"
77;12157.95;7788.9;"cluster_2"
72;30378.54;1396.61;"cluster_0"
139;22297.29;5615.46;"cluster_0"
162;26033.44;2768.45;"cluster_0"
74;19129.92;4321.04;"cluster_2"
298;19322.14;1263.23;"cluster_2"
161;3630.72;2439.56;"cluster_1"
54;15512.13;3565.41;"cluster_2"
77;29510.21;7208.69;"cluster_0"
185;5052.17;1710.54;"cluster_1"
85;4319.7;7883.61;"cluster_1"
190;13361.49;2872.59;"cluster_2"
46;17127.9;5712.42;"cluster_2"
42;29424.33;4274.04;"cluster_0"
58;19017.23;7334.46;"cluster_2"
298;17902.0;2260.73;"cluster_2"
22;26530.87;8001.06;"cluster_0"
189;9037.61;2833.83;"cluster_1"
215;24797.62;1524.66;"cluster_0"
65;30192.45;2452.55;"cluster_0"
218;13727.53;4035.45;"cluster_2"
167;12552.9;5799.08;"cluster_2"
225;4217.76;7902.07;"cluster_1"
89;17989.97;3113.89;"cluster_2"
233;11907.96;5907.23;"cluster_2"
163;7631.53;5680.92;"cluster_1"
227;22662.29;824.28;"cluster_0"
36;27390.58;6788.22;"cluster_0"
31;26080.77;7998.45;"cluster_0"
182;3564.65;2325.51;"cluster_1"
280;24925.6;2032.53;"cluster_0"
157;13190.93;4093.88;"cluster_2"
264;9616.93;4663.55;"cluster_1"
56;15516.98;5220.38;"cluster_2"
251;15647.49;6868.24;"cluster_2"
56;26833.7;4869.19;"cluster_0"
286;9809.83;6584.06;"cluster_1"
70;19450.09;3616.58;"cluster_2"
313;14172.99;4773.73;"cluster_2"
224;29288.03;1491.62;"cluster_0"
245;23109.38;7390.88;"cluster_0"
